Place Holder,,,Installation Value,,,File Location,,,Comments
secureSpsWebPort,,,8449,,,/usr/share/tomcat_selfservice/conf/server.xml,,,SSL Port for accessing the SPIRESelfservice application
secureSpsaWebPort,,,8411,,,/usr/share/tomcat_selfserviceAdmin/conf/server.xml,,,SSL Port for accessing the SPIRESelfservice Admin application
,,,,,,,,,
---,,,---,,,---,,,---
secureSpsWebPort,,,8449,,,/root/ssl/firewall_selfservice.sh,,,Firewall Pass for SSL Port for accessing the selfservice web application
secureAdjWebPort,,,8447,,,/root/ssl/firewall_adjudication.sh,,,Firewall Pass for SSL Port for accessing the adjudication web application
secureSpdWebPort,,,8448,,,/root/ssl/firewall_demarcation.sh,,,Firewall Pass for SSL Port for accessing the SPiRE REST web application
secureSrsWebPort,,,8445,,,/root/ssl/firewall_rest.sh,,,Firewall Pass for SSL Port for accessing the SPiRE REST web application
secureSpwWebPort,,,8443,,,/root/ssl/firewall_spire_web.sh,,,Firewall Pass for SSL Port for accessing the SPIRE Web UI web application
srsWebPort,,,8085,,,/root/ssl/firewall_rest.sh,,,Firewall Pass for Regular Port for accessing the SPiRE REST web application
spwWebPort,,,8082,,,/root/ssl/firewall_spire_web.sh,,,Firewall Pass for Regular Port for accessing the SPiRE Web UI web application
adjWebPort,,,8090,,,/root/ssl/firewall_adjudication.sh,,,Firewall Pass for Regular Port for accessing the adjudication web application
spdWebPort,,,8083,,,/root/ssl/firewall_demarcation.sh,,,Firewall Pass for Regular Port for accessing the demarcation application
spsWebPort,,,8084,,,/root/ssl/firewall_selfservice.sh,,,Firewall Pass for Regular Port for accessing the selfservice application
